year,cono bico,cono insa,crem sp,irid prui,myrm depi,myrm mexi,myrm mimi,novo cock,phei dese,phei mili,phei sita,phei xero,pogo barb,pogo dese,pogo imbe,pogo mari,pogo rugo,sole sp,sole xylo
1988,1,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,1,1,1
1989,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,1
1990,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1
1991,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1
1992,1,1,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,1,NA,1,1
1993,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1
1994,1,1,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,1,1
1998,1,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,1,1
1999,1,1,1,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,NA,1,1
2000,NA,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,1,1
2001,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1
2002,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,1,1
2003,1,1,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,1
2004,NA,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,1,1
2005,1,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1
2006,1,1,NA,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1
2007,1,1,NA,1,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,1,1
2008,1,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,1,1
2009,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,1,1,1
